Vineyard,Wine,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
South,1541,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5
West,993,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7
East,59,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6
South,588,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11
North,1171,6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12
South,1547,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5
North,1082,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333
West,873,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2
North,1490,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2
North,1568,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6
East,1282,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10
South,649,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5
North,737,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9
West,460,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
West,692,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4
West,817,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1
North,686,7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1
West,869,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5
North,261,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6
South,191,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
South,1459,7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2
East,1219,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4
South,972,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2
East,1102,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7
West,161,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4
North,1326,6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8
East,167,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9
East,614,6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8
West,491,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2
South,895,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4
South,251,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11
West,762,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1
South,883,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2
East,1166,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8
East,1502,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3
West,885,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8
East,1517,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1
East,1340,12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5
West,819,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6
West,429,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4
North,247,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2
East,1331,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5
West,644,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7
North,1485,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4
West,969,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5
West,1137,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6
East,1458,7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9
South,1219,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5
East,733,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8
East,16,7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10
West,834,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3
North,1143,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8
South,54,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4
West,1431,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11
East,919,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7
West,198,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1
North,995,6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4
East,847,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9
North,886,7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9
South,671,6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6
South,111,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
South,69,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4
North,745,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7
North,940,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1
North,338,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8
North,1214,9.5,0.42,0.41,2.3,0.034,22,145,0.9951,3.06,0.52,11
West,766,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2
North,128,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6
South,710,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3
North,1612,6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3
East,1029,6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13
East,1427,6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1
South,348,6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55
West,298,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9
North,270,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7
South,1616,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3
North,220,5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9
West,1132,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9
East,36,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3
South,720,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1
North,1388,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6
North,1544,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2
North,483,6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7
East,829,6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3
West,1516,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9
South,1011,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
West,1560,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1
East,405,5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75
North,670,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7
South,379,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
West,975,7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4
West,1579,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1
South,1624,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4
South,1447,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5
West,1079,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
South,1207,8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7
East,1487,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5
East,647,6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5
South,617,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10
East,45,7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1
North,469,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5
North,535,5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5
East,1297,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5
West,650,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4
South,130,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4
South,945,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
West,1465,6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5
East,52,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2
North,330,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5
West,1582,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2
West,1018,6.7,0.34,0.4,2.1,0.033,34,111,0.98924,2.97,0.48,12.2
South,1118,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11
East,1118,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2
East,538,7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2
South,1492,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333
North,1286,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3
South,1223,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9
West,832,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8
West,963,6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8
East,379,7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9
West,1567,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10
North,646,6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3
North,1527,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3
South,84,8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5
North,95,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2
South,829,8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6
East,572,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4
West,668,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9
South,1490,7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8
South,1132,7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3
East,244,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4
East,1343,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5
East,1424,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
North,513,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6
South,881,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6
North,402,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
East,706,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8
South,1027,8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2
East,736,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9
East,654,6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5
North,158,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4
West,12,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7
East,111,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10
North,1442,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
South,132,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9
North,1341,6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5
North,1588,8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1
North,1009,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5
South,1470,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6
South,332,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
West,881,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4
West,1301,5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9
East,1512,7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8
East,273,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
South,501,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7
West,1185,6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9
North,468,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5
West,1253,8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3
West,503,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8
West,205,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4
South,123,9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3
North,864,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9
East,632,7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10
North,362,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3
North,184,6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4
North,703,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9
West,219,6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9
West,468,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1
East,104,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6
North,939,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8
South,848,6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2
North,139,7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2
West,454,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2
South,974,6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4
South,1606,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8
South,1075,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2
South,746,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11
East,737,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
East,73,8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1
West,912,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9
North,1342,6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7
West,418,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6
West,1060,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9
North,1227,6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7
East,259,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9
North,1343,7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4
South,1423,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4
West,439,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1
South,1107,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2
South,140,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2
East,1526,6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4
East,1162,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1
West,459,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8
South,1225,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5
East,1428,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5
West,755,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11
West,1203,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
West,753,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2
East,519,9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3
South,1302,7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7
West,10,6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.533333333
North,589,6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5
South,1076,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9
East,1047,6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3
East,587,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8
North,977,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5
North,422,8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3
North,819,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2
West,760,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9
South,897,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
East,205,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11
East,1336,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2
East,580,9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2
East,472,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5
North,1339,6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2
South,622,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2
South,975,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3
East,1042,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2
East,1571,7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9
West,59,6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9
North,224,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4
South,1530,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5
North,1218,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2
South,1211,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4
East,1611,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7
East,1126,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4
East,652,6.6,0.12,0.25,1.4,0.039,21,131,0.99114,3.2,0.45,11.2
East,86,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6
North,495,10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9
North,1578,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8
West,348,6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4
South,1446,6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8
North,669,7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7
North,1037,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4
West,30,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8
North,364,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6
East,1129,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5
West,695,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5
East,265,7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2
South,286,7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8
East,781,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3
East,1586,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4
South,1448,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
East,878,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1
South,8,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2
North,265,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5
East,1520,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4
South,1613,6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4
West,1302,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4
North,565,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8
East,902,7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1
South,715,6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1
South,1400,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
West,1497,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9
North,50,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
West,1112,6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6
West,1201,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
East,962,6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8
West,169,7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1
South,1087,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
East,1405,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9
South,1460,8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6
East,1332,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2
East,1083,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8
North,246,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4
East,619,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8
South,323,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5
West,89,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4
West,129,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5
West,748,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3
North,920,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1
South,1360,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
North,518,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5
East,806,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8
South,419,7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11
South,1313,7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7
North,1258,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1
West,150,6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6
South,865,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4
East,1012,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4
South,1155,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10
South,609,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13
West,526,6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9
East,1128,6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7
West,175,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10
East,570,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9
South,764,7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5
West,803,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9
East,112,6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2
North,439,5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7
West,848,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4
West,1592,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
West,1031,6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5
North,804,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10
East,1258,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
West,177,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6
South,964,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3
North,768,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10
East,866,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4
North,1383,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8
East,479,6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6
South,1317,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7
West,1155,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
North,514,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3
South,1037,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8
North,121,6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8
North,820,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4
South,85,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9
South,48,6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2
East,539,6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7
South,96,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5
